2.119188308715820312e+00,3.423953894525766373e-04,6.005929708480834961e-01
2.126466751098632812e+00,2.510899503249675035e-04,5.978447198867797852e-01
2.098484516143798828e+00,2.510899503249675035e-04,6.083589792251586914e-01
2.117863893508911133e+00,2.282635978190228343e-04,6.010921001434326172e-01
2.090112686157226562e+00,3.652217565104365349e-04,6.114776134490966797e-01
2.209097862243652344e+00,1.369581586914137006e-04,5.659832358360290527e-01
2.097764253616333008e+00,4.565271956380456686e-04,6.086277961730957031e-01
2.126355409622192383e+00,2.282635978190228343e-04,5.978868007659912109e-01
2.178783655166625977e+00,1.826108782552182674e-04,5.778130292892456055e-01
2.069813728332519531e+00,4.337008285801857710e-04,6.189875602722167969e-01
