network,nll_median,nll_full,accuracy_median,accuracy_full,ece_median,ece_full,nr_active_weights
0,0.7899987101554871,0.8948477506637573,75.35174570088587,76.91505992704533,0.03865833185252076,0.08030404672298413,622020
1,0.6434242129325867,0.6605584621429443,75.66440854611777,77.22772277227723,0.05071627511339548,0.07110124023523474,622452
2,0.6837394833564758,0.6768662929534912,75.66440854611777,77.01928087545596,0.07441799546853523,0.05831027380372786,622679
3,0.625368595123291,0.6441606879234314,75.56018759770714,76.39395518499218,0.033266271337859046,0.028260386459152832,624619
4,0.8132150769233704,0.6551719903945923,67.79572694111516,77.38405419489317,0.0482376809540113,0.0600725572639732,621867
5,0.6489430665969849,0.6584456562995911,74.83064095883273,75.09119332985931,0.06380718896760487,0.043572771201349905,623109
6,0.6462641358375549,0.6489303112030029,74.4137571651902,76.23762376237623,0.02971906423444485,0.05485397957773986,622742
7,0.6929597854614258,0.6739090085029602,73.57998957790515,76.60239708181345,0.03823167399356238,0.05931509475244588,622203
8,0.6978879570960999,0.6926509737968445,75.61229807191245,76.75872850442938,0.04456306583189356,0.06336095952441012,621142
9,0.7539197206497192,0.704135000705719,71.44346013548723,76.96717040125066,0.0678800965827725,0.07314281437377122,619037
