9.667000000000000037e-01,8.702002232894301414e-04
9.668999999999999817e-01,8.458589436486363411e-04
9.683000000000000496e-01,8.838921785354614258e-04
9.693000000000000504e-01,9.378993418067693710e-04
9.686000000000000165e-01,8.679181919433176517e-04
9.674000000000000377e-01,8.610722143203020096e-04
9.685000000000000275e-01,9.569159592501819134e-04
9.697000000000000064e-01,8.983447914943099022e-04
9.695000000000000284e-01,8.770462009124457836e-04
9.677000000000000046e-01,8.838921785354614258e-04
