network,nll_median,nll_full,accuracy_median,accuracy_full,ece_median,ece_full,nr_active_weights
0,0.9954702854156494,0.8859369158744812,53.46534653465346,62.1156852527358,0.07568426472933236,0.03857987740190156,753
1,0.8948522210121155,0.8766814470291138,58.572173006774364,60.969254820218865,0.015322531571047852,0.027693727679275016,667
2,0.9005610346794128,0.8905753493309021,60.083376758728505,60.969254820218865,0.023201184620019844,0.030988260164057105,793
3,1.2092465162277222,0.8983557820320129,44.18968212610735,60.60448150078166,0.22388804873617568,0.024070132052047322,652
4,0.8989169597625732,0.896158754825592,59.45805106826472,59.770713913496614,0.028264213999837196,0.025750790274720936,587
5,1.204954981803894,0.910834789276123,41.6362688900469,58.884835852006255,0.2611342595231104,0.04227868912119367,660
6,1.03570556640625,0.8913582563400269,49.192287649817615,61.281917665450756,0.12399152457061816,0.03422272071793651,669
7,0.8809700012207031,0.8732919692993164,61.281917665450756,62.897342365815526,0.041878136745525464,0.04229885047770469,660
8,0.8818533420562744,0.8782508373260498,60.812923397602916,61.59458051068265,0.020064733095502028,0.020040964322390827,706
9,1.3101246356964111,0.8910307288169861,36.68577384054195,60.91714434601355,0.36983846597773384,0.03600854801286816,639
