network,roc_auc_median,roc_auc_full,nr_active_weights
0,0.9960317460317459,0.9960317460317459,6
1,0.9960317460317459,0.9960317460317459,5
2,0.9986772486772486,0.9986772486772486,3
3,0.9973544973544973,0.9973544973544973,4
4,0.9947089947089947,0.9947089947089947,5
5,0.9986772486772486,0.9986772486772486,3
6,0.9947089947089947,0.9947089947089947,5
7,0.9986772486772486,0.9986772486772486,4
8,0.9986772486772486,0.9986772486772486,4
9,0.9986772486772486,0.9986772486772486,4
