network,roc_auc_median,roc_auc_full,nr_active_weights
0,0.9986772486772486,0.9986772486772486,3
1,0.9920634920634921,0.9907407407407407,7
2,0.9960317460317459,0.9960317460317459,11
3,0.9960317460317459,0.9973544973544973,7
4,0.9947089947089947,0.9960317460317459,6
5,0.9947089947089947,0.9947089947089947,8
6,0.9947089947089947,0.9960317460317459,8
7,0.9947089947089947,0.9986772486772486,7
8,0.9986772486772486,0.9986772486772486,3
9,0.9986772486772486,0.9986772486772486,3
